programName,雀魂Plus,雀魂Plus
resourcepack,资源包,リソースパック
extension,扩展,エクステンション
tool,工具,ツール
setting,设置,設定
about,关于,雀魂Plusについて
nya,喵喵喵！,ニャニャニャ！
getRemoteSourceFailed,从远端服务器请求 $0 失败，状态码为 $1,"リモートサーバへの$0の要求に失敗しました, ステータスコード：$1"
httpsGetFileFailed,尝试下载资源 $0 失败，状态码为 $1,"リソース$0をダウンロードしようとしましたが失敗しました, ステータスコード：$1"
httpsGetFileRedirect,访问 $0 被重定向，状态码为 $1,"$0へのアクセスはリダイレクトされます, ステータスコード：$1"
portInUse,端口被占用，重试中……,ポートが既に使われています，再試行中……
consoleMessage,控制台消息,コンソールメッセージ
community,社区,コミュニティ
webContentsCrashed,Web Contents 崩溃,WebContentsがクラッシュしました
delay,网络延迟,ネットワーク遅延
launch,启动游戏,ゲームスタート
loading,加载中,ロード中
millisecond,毫秒,ミリ秒
screenshotSaved,截图已保存,スクリーンショットを保存しました
screenshotsSaved,已保存 $0 张截图,$0 枚のスクリーンショットを保存しました
server,服务器,サーバ
serverzh,国服,中国サーバ
serverjp,日服,日本サーバ
serveren,美服,アメリカサーバ